Parameter;Unit; PV-BAT-DG ; PV-BAT 
$Npv$;Units; 190.00 ; 420.00 
$Nbat$;Units; 48.00 ; 96.00 
$Nbat_{p}$;Units; 2.00 ; 4.00 
$Ebatn$;$kW$; 40.30 ; 67.20 
$LC$;$Number$; 229.00 ; 145.00 
$Pdg$;$kW$; 10.00 ; - 
$CCpv$;$USD$; 85,500.00 ; 189,000.00 
$CCbat$;$USD$; 5,826.20 ; 9,710.40 
$CCdg$;$USD$; 20,411.00 ; - 
$O\&Mpv$;$USD/year$; 855.00 ; 1,890.00 
$O\&Mbat$;$USD/year$; 116.50 ; 194.20 
$O\&Mdg$;$USD/year$; 4,003.00 ; - 
$RCbat$;$USD$; 2,737.40 ; 4,562.30 
$RCdg$;$USD$; 9,589.90 ; - 
$LPSP$;$\%$; 5.00 ; 9.90 
$CRF$;$\%$; 10.00 ; 10.00 
$PENS$;$kWh/year$; 1,823.30 ; 3,644.40 
$Cost_{ENS};$USD/year$; 1,355.40 ; 4,751.60 
$ASC$;$USD/year$; 17,381.00 ; 22,411.50 
$LCOE$;$USD/year$; 0.50 ; 0.32 
$\deltaASC$;$USD/year$; 16,502.40 ; 20,499.90 
$\deltaLCOE$;$USD/year$; 0.48 ; 0.30 
